_MID_ ; Inverters_Data
_MNAME_ ; Inverters_Data
Inverters_Data_U.Inv_L_RegID_M235_Inv_L_DCBus ; 1001 0 ; ASD_VARIABLE ; Inverters_Data.Inv_L_RegID_M235_Inv_L_DCBus ; 0x0
Inverters_Data_U.Inv_L_RegID_M48_Inv_L_Speed ; 1001 1 ; ASD_VARIABLE ; Inverters_Data.Inv_L_RegID_M48_Inv_L_Speed ; 0x0
Inverters_Data_U.Inv_L_RegID_M73_Inv_L_TempMotor ; 1001 2 ; ASD_VARIABLE ; Inverters_Data.Inv_L_RegID_M73_Inv_L_TempMotor ; 0x0
Inverters_Data_U.Inv_L_RegID_M74_Inv_L_TempIGBT ; 1001 3 ; ASD_VARIABLE ; Inverters_Data.Inv_L_RegID_M74_Inv_L_TempIGBT ; 0x0
Inverters_Data_U.Inv_R_RegID_M235_Inv_R_DCBus ; 1001 4 ; ASD_VARIABLE ; Inverters_Data.Inv_R_RegID_M235_Inv_R_DCBus ; 0x0
Inverters_Data_U.Inv_R_RegID_M48_Inv_R_Speed ; 1001 5 ; ASD_VARIABLE ; Inverters_Data.Inv_R_RegID_M48_Inv_R_Speed ; 0x0
Inverters_Data_U.Inv_R_RegID_M73_Inv_R_TempMotor ; 1001 6 ; ASD_VARIABLE ; Inverters_Data.Inv_R_RegID_M73_Inv_R_TempMotor ; 0x0
Inverters_Data_U.Inv_R_RegID_M74_Inv_R_TempIGBT ; 1001 7 ; ASD_VARIABLE ; Inverters_Data.Inv_R_RegID_M74_Inv_R_TempIGBT ; 0x0
Inverters_Data_Y.Inv_L_TempIGBT ; 1001 8 ; ASD_VARIABLE ; Inverters_Data.Inv_L_TempIGBT ; 0x0
Inverters_Data_Y.Inv_L_TempMotor ; 1001 9 ; ASD_VARIABLE ; Inverters_Data.Inv_L_TempMotor ; 0x0
Inverters_Data_Y.Inv_R_TempIGBT ; 1001 10 ; ASD_VARIABLE ; Inverters_Data.Inv_R_TempIGBT ; 0x0
Inverters_Data_Y.Inv_R_TempMotor ; 1001 11 ; ASD_VARIABLE ; Inverters_Data.Inv_R_TempMotor ; 0x0
Inverters_Data_Y.InvertersMinDCBus ; 1001 12 ; ASD_VARIABLE ; Inverters_Data.InvertersMinDCBus ; 0x0
Inverters_Data_Y.Max_Temp_IGBT ; 1001 13 ; ASD_VARIABLE ; Inverters_Data.Max_Temp_IGBT ; 0x0
Inverters_Data_Y.Max_Temp_Motors ; 1001 14 ; ASD_VARIABLE ; Inverters_Data.Max_Temp_Motors ; 0x0
Inverters_Data_Y.RL_Vel_ms_Wheel ; 1001 15 ; ASD_VARIABLE ; Inverters_Data.RL_Vel_ms_Wheel ; 0x0
Inverters_Data_Y.RL_rads_Motor ; 1001 16 ; ASD_VARIABLE ; Inverters_Data.RL_rads_Motor ; 0x0
Inverters_Data_Y.RR_Vel_ms_Wheel ; 1001 17 ; ASD_VARIABLE ; Inverters_Data.RR_Vel_ms_Wheel ; 0x0
Inverters_Data_Y.RR_rads_Motor ; 1001 18 ; ASD_VARIABLE ; Inverters_Data.RR_rads_Motor ; 0x0
Inverters_Data_Y.Speed ; 1001 19 ; ASD_VARIABLE ; Inverters_Data.Speed ; 0x0
